Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Bachelor of Arts - Labour Studies (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Media and Communication Studies,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Music,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Political Science (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Popular Culture,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Psychology (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Social Sciences,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Women's and Gender Studies,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Tourism and Environment (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Business Economics (Optional Co-op),"CA$ 26,442.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
